Found 9995 total meshes to process
[1/9995] [1 success|0 fail] [SUCCESS] model_1037024.obj (took 0.03s | total elapsed: 0.15s)
[32/9995] [32 success|0 fail] [SUCCESS] model_1018295.obj (took 0.07s | total elapsed: 0.17s)
[33/9995] [33 success|0 fail] [SUCCESS] model_1037020.obj (took 0.03s | total elapsed: 0.17s)
[34/9995] [34 success|0 fail] [SUCCESS] model_103212.obj (took 0.03s | total elapsed: 0.17s)
[35/9995] [35 success|0 fail] [SUCCESS] model_101953.obj (took 0.04s | total elapsed: 0.17s)
[36/9995] [36 success|0 fail] [SUCCESS] model_1005289.obj (took 0.01s | total elapsed: 0.17s)
[37/9995] [37 success|0 fail] [SUCCESS] model_103087.obj (took 0.04s | total elapsed: 0.17s)
[38/9995] [38 success|0 fail] [SUCCESS] model_102537.obj (took 0.07s | total elapsed: 0.17s)
[39/9995] [39 success|0 fail] [SUCCESS] model_103145.obj (took 0.05s | total elapsed: 0.17s)
[40/9995] [40 success|0 fail] [SUCCESS] model_101954.obj (took 0.05s | total elapsed: 0.17s)
[41/9995] [41 success|0 fail] [SUCCESS] model_100335.obj (took 0.01s | total elapsed: 0.17s)
[42/9995] [42 success|0 fail] [SUCCESS] model_1016856.obj (took 0.04s | total elapsed: 0.17s)
[43/9995] [43 success|0 fail] [SUCCESS] model_100423.obj (took 0.01s | total elapsed: 0.17s)
[44/9995] [44 success|0 fail] [SUCCESS] model_1036318.obj (took 0.01s | total elapsed: 0.17s)
[45/9995] [45 success|0 fail] [SUCCESS] model_102793.obj (took 0.03s | total elapsed: 0.17s)
[46/9995] [46 success|0 fail] [SUCCESS] model_100471.obj (took 0.01s | total elapsed: 0.17s)
[47/9995] [47 success|0 fail] [SUCCESS] model_100047.obj (took 0.01s | total elapsed: 0.17s)
[48/9995] [48 success|0 fail] [SUCCESS] model_1005286.obj (took 0.01s | total elapsed: 0.17s)
[49/9995] [49 success|0 fail] [SUCCESS] model_100331.obj (took 0.01s | total elapsed: 0.17s)
[50/9995] [50 success|0 fail] [SUCCESS] model_1036658.obj (took 0.02s | total elapsed: 0.17s)
[51/9995] [51 success|0 fail] [SUCCESS] model_1036317.obj (took 0.04s | total elapsed: 0.17s)
[52/9995] [52 success|0 fail] [SUCCESS] model_100645.obj (took 0.01s | total elapsed: 0.17s)
[53/9995] [53 success|0 fail] [SUCCESS] model_1005268.obj (took 0.01s | total elapsed: 0.17s)
[54/9995] [54 success|0 fail] [SUCCESS] model_1013014.obj (took 0.02s | total elapsed: 0.17s)
[55/9995] [55 success|0 fail] [SUCCESS] model_102066.obj (took 0.04s | total elapsed: 0.17s)
[56/9995] [56 success|0 fail] [SUCCESS] model_100073.obj (took 0.01s | total elapsed: 0.17s)
[57/9995] [57 success|0 fail] [SUCCESS] model_1005285.obj (took 0.01s | total elapsed: 0.17s)
[58/9995] [58 success|0 fail] [SUCCESS] model_101647.obj (took 0.08s | total elapsed: 0.17s)
[59/9995] [59 success|0 fail] [SUCCESS] model_1036657.obj (took 0.01s | total elapsed: 0.17s)
[60/9995] [60 success|0 fail] [SUCCESS] model_1005269.obj (took 0.01s | total elapsed: 0.17s)
[61/9995] [61 success|0 fail] [SUCCESS] model_103211.obj (took 0.03s | total elapsed: 0.17s)
[62/9995] [62 success|0 fail] [SUCCESS] model_102041.obj (took 0.05s | total elapsed: 0.17s)
[63/9995] [63 success|0 fail] [SUCCESS] model_103086.obj (took 0.04s | total elapsed: 0.17s)
[64/9995] [64 success|0 fail] [SUCCESS] model_1005267.obj (took 0.01s | total elapsed: 0.17s)
[65/9995] [65 success|0 fail] [SUCCESS] model_100640.obj (took 0.01s | total elapsed: 0.17s)
[66/9995] [66 success|0 fail] [SUCCESS] model_101558.obj (took 0.05s | total elapsed: 0.17s)
[67/9995] [67 success|0 fail] [SUCCESS] model_101333.obj (took 0.06s | total elapsed: 0.17s)
[68/9995] [68 success|0 fail] [SUCCESS] model_100827.obj (took 0.01s | total elapsed: 0.17s)
[69/9995] [69 success|0 fail] [SUCCESS] model_101330.obj (took 0.03s | total elapsed: 0.17s)
[70/9995] [70 success|0 fail] [SUCCESS] model_1038441.obj (took 0.02s | total elapsed: 0.17s)
[71/9995] [71 success|0 fail] [SUCCESS] model_1036656.obj (took 0.03s | total elapsed: 0.17s)
[72/9995] [72 success|0 fail] [SUCCESS] model_1005284.obj (took 0.01s | total elapsed: 0.17s)
[73/9995] [73 success|0 fail] [SUCCESS] model_101332.obj (took 0.04s | total elapsed: 0.17s)
[74/9995] [74 success|0 fail] [SUCCESS] model_100815.obj (took 0.02s | total elapsed: 0.17s)
[75/9995] [75 success|0 fail] [SUCCESS] model_1036313.obj (took 0.03s | total elapsed: 0.17s)
[76/9995] [76 success|0 fail] [SUCCESS] model_100072.obj (took 0.01s | total elapsed: 0.17s)
[77/9995] [77 success|0 fail] [SUCCESS] model_101648.obj (took 0.04s | total elapsed: 0.17s)
[78/9995] [78 success|0 fail] [SUCCESS] model_1036655.obj (took 0.03s | total elapsed: 0.17s)
[79/9995] [79 success|0 fail] [SUCCESS] model_1028706.obj (took 0.03s | total elapsed: 0.17s)
[80/9995] [80 success|0 fail] [SUCCESS] model_100644.obj (took 0.01s | total elapsed: 0.17s)
[81/9995] [81 success|0 fail] [SUCCESS] model_100028.obj (took 0.00s | total elapsed: 0.17s)
[82/9995] [82 success|0 fail] [SUCCESS] model_1036312.obj (took 0.04s | total elapsed: 0.17s)
[83/9995] [83 success|0 fail] [SUCCESS] model_1009280.obj (took 0.02s | total elapsed: 0.17s)
[84/9995] [84 success|0 fail] [SUCCESS] model_1036654.obj (took 0.02s | total elapsed: 0.17s)
[85/9995] [85 success|0 fail] [SUCCESS] model_103197.obj (took 0.04s | total elapsed: 0.17s)
[86/9995] [86 success|0 fail] [SUCCESS] model_100037.obj (took 0.01s | total elapsed: 0.17s)
[87/9995] [87 success|0 fail] [SUCCESS] model_1021166.obj (took 0.03s | total elapsed: 0.17s)
[88/9995] [88 success|0 fail] [SUCCESS] model_101085.obj (took 0.02s | total elapsed: 0.17s)
[89/9995] [89 success|0 fail] [SUCCESS] model_100033.obj (took 0.00s | total elapsed: 0.17s)
[90/9995] [90 success|0 fail] [SUCCESS] model_100330.obj (took 0.01s | total elapsed: 0.17s)
[91/9995] [91 success|0 fail] [SUCCESS] model_102038.obj (took 0.05s | total elapsed: 0.17s)
[92/9995] [92 success|0 fail] [SUCCESS] model_1036311.obj (took 0.02s | total elapsed: 0.17s)
[93/9995] [93 success|0 fail] [SUCCESS] model_1021167.obj (took 0.07s | total elapsed: 0.17s)
[94/9995] [94 success|0 fail] [SUCCESS] model_1005283.obj (took 0.01s | total elapsed: 0.17s)
[95/9995] [95 success|0 fail] [SUCCESS] model_1005275.obj (took 0.01s | total elapsed: 0.17s)
[96/9995] [96 success|0 fail] [SUCCESS] model_1038438.obj (took 0.02s | total elapsed: 0.17s)
[97/9995] [97 success|0 fail] [SUCCESS] model_102485.obj (took 0.03s | total elapsed: 0.17s)
[98/9995] [98 success|0 fail] [SUCCESS] model_101955.obj (took 0.04s | total elapsed: 0.17s)
[99/9995] [99 success|0 fail] [SUCCESS] model_101560.obj (took 0.04s | total elapsed: 0.17s)
[100/9995] [100 success|0 fail] [SUCCESS] model_100045.obj (took 0.01s | total elapsed: 0.17s)
[101/9995] [101 success|0 fail] [SUCCESS] model_1028707.obj (took 0.04s | total elapsed: 0.17s)
[102/9995] [102 success|0 fail] [SUCCESS] model_1005273.obj (took 0.01s | total elapsed: 0.17s)
[103/9995] [103 success|0 fail] [SUCCESS] model_101636.obj (took 0.03s | total elapsed: 0.17s)
[104/9995] [104 success|0 fail] [SUCCESS] model_1018275.obj (took 0.05s | total elapsed: 0.17s)
[105/9995] [105 success|0 fail] [SUCCESS] model_100071.obj (took 0.01s | total elapsed: 0.17s)
[106/9995] [106 success|0 fail] [SUCCESS] model_100046.obj (took 0.01s | total elapsed: 0.17s)
[107/9995] [107 success|0 fail] [SUCCESS] model_1036310.obj (took 0.03s | total elapsed: 0.17s)
[108/9995] [108 success|0 fail] [SUCCESS] model_1028708.obj (took 0.03s | total elapsed: 0.17s)
[109/9995] [109 success|0 fail] [SUCCESS] model_1038436.obj (took 0.02s | total elapsed: 0.17s)
[110/9995] [110 success|0 fail] [SUCCESS] model_102308.obj (took 0.04s | total elapsed: 0.17s)
[111/9995] [111 success|0 fail] [SUCCESS] model_104431.obj (took 0.01s | total elapsed: 0.17s)
[112/9995] [112 success|0 fail] [SUCCESS] model_100026.obj (took 0.00s | total elapsed: 0.17s)
[113/9995] [113 success|0 fail] [SUCCESS] model_101635.obj (took 0.03s | total elapsed: 0.17s)
[114/9995] [114 success|0 fail] [SUCCESS] model_1018274.obj (took 0.05s | total elapsed: 0.17s)
[115/9995] [115 success|0 fail] [SUCCESS] model_100349.obj (took 0.01s | total elapsed: 0.17s)
[116/9995] [116 success|0 fail] [SUCCESS] model_1036309.obj (took 0.03s | total elapsed: 0.17s)
[117/9995] [117 success|0 fail] [SUCCESS] model_101550.obj (took 0.07s | total elapsed: 0.17s)
[118/9995] [118 success|0 fail] [SUCCESS] model_102028.obj (took 0.03s | total elapsed: 0.17s)
[119/9995] [119 success|0 fail] [SUCCESS] model_1038435.obj (took 0.03s | total elapsed: 0.17s)
[120/9995] [120 success|0 fail] [SUCCESS] model_1036651.obj (took 0.04s | total elapsed: 0.17s)
[121/9995] [121 success|0 fail] [SUCCESS] model_101331.obj (took 0.07s | total elapsed: 0.17s)
[122/9995] [122 success|0 fail] [SUCCESS] model_100388.obj (took 0.01s | total elapsed: 0.17s)
[123/9995] [123 success|0 fail] [SUCCESS] model_103207.obj (took 0.03s | total elapsed: 0.17s)
[124/9995] [124 success|0 fail] [SUCCESS] model_103085.obj (took 0.07s | total elapsed: 0.17s)
[125/9995] [125 success|0 fail] [SUCCESS] model_1004824.obj (took 0.01s | total elapsed: 0.17s)
[126/9995] [126 success|0 fail] [SUCCESS] model_100282.obj (took 0.01s | total elapsed: 0.17s)
[127/9995] [127 success|0 fail] [SUCCESS] model_100733.obj (took 0.01s | total elapsed: 0.17s)
[128/9995] [128 success|0 fail] [SUCCESS] model_100643.obj (took 0.01s | total elapsed: 0.17s)
[129/9995] [129 success|0 fail] [SUCCESS] model_1017019.obj (took 0.05s | total elapsed: 0.17s)
[130/9995] [130 success|0 fail] [SUCCESS] model_100732.obj (took 0.01s | total elapsed: 0.17s)
[131/9995] [131 success|0 fail] [SUCCESS] model_101634.obj (took 0.03s | total elapsed: 0.17s)
[132/9995] [132 success|0 fail] [SUCCESS] model_100344.obj (took 0.01s | total elapsed: 0.17s)
[133/9995] [133 success|0 fail] [SUCCESS] model_100032.obj (took 0.00s | total elapsed: 0.17s)
[134/9995] [134 success|0 fail] [SUCCESS] model_100027.obj (took 0.00s | total elapsed: 0.17s)
[135/9995] [135 success|0 fail] [SUCCESS] model_103537.obj (took 0.02s | total elapsed: 0.17s)
[136/9995] [136 success|0 fail] [SUCCESS] model_100642.obj (took 0.01s | total elapsed: 0.17s)
[137/9995] [137 success|0 fail] [SUCCESS] model_1001930.obj (took 0.01s | total elapsed: 0.17s)
[138/9995] [138 success|0 fail] [SUCCESS] model_101214.obj (took 0.04s | total elapsed: 0.17s)
[139/9995] [139 success|0 fail] [SUCCESS] model_103081.obj (took 0.07s | total elapsed: 0.17s)
[140/9995] [140 success|0 fail] [SUCCESS] model_101951.obj (took 0.07s | total elapsed: 0.17s)
[141/9995] [141 success|0 fail] [SUCCESS] model_102296.obj (took 0.03s | total elapsed: 0.17s)
[142/9995] [142 success|0 fail] [SUCCESS] model_103082.obj (took 0.02s | total elapsed: 0.17s)
[143/9995] [143 success|0 fail] [SUCCESS] model_100036.obj (took 0.00s | total elapsed: 0.17s)
[144/9995] [144 success|0 fail] [SUCCESS] model_103519.obj (took 0.02s | total elapsed: 0.17s)
[145/9995] [145 success|0 fail] [SUCCESS] model_100729.obj (took 0.02s | total elapsed: 0.17s)
[146/9995] [146 success|0 fail] [SUCCESS] model_1004827.obj (took 0.01s | total elapsed: 0.17s)
[147/9995] [147 success|0 fail] [SUCCESS] model_101548.obj (took 0.06s | total elapsed: 0.17s)
[148/9995] [148 success|0 fail] [SUCCESS] model_1036471.obj (took 0.04s | total elapsed: 0.17s)
[149/9995] [149 success|0 fail] [SUCCESS] model_1036315.obj (took 0.01s | total elapsed: 0.17s)
[150/9995] [150 success|0 fail] [SUCCESS] model_1005280.obj (took 0.01s | total elapsed: 0.17s)
[151/9995] [151 success|0 fail] [SUCCESS] model_104404.obj (took 0.01s | total elapsed: 0.17s)
[152/9995] [152 success|0 fail] [SUCCESS] model_102295.obj (took 0.07s | total elapsed: 0.17s)
[153/9995] [153 success|0 fail] [SUCCESS] model_100730.obj (took 0.01s | total elapsed: 0.17s)
[154/9995] [154 success|0 fail] [SUCCESS] model_100500.obj (took 0.01s | total elapsed: 0.17s)
[155/9995] [155 success|0 fail] [SUCCESS] model_1017018.obj (took 0.04s | total elapsed: 0.17s)
[156/9995] [156 success|0 fail] [SUCCESS] model_103194.obj (took 0.07s | total elapsed: 0.17s)
[157/9995] [157 success|0 fail] [SUCCESS] model_1015402.obj (took 0.05s | total elapsed: 0.17s)
[158/9995] [158 success|0 fail] [SUCCESS] model_1036468.obj (took 0.02s | total elapsed: 0.17s)
[159/9995] [159 success|0 fail] [SUCCESS] model_100030.obj (took 0.01s | total elapsed: 0.17s)
[160/9995] [160 success|0 fail] [SUCCESS] model_103455.obj (took 0.04s | total elapsed: 0.17s)
[161/9995] [161 success|0 fail] [SUCCESS] model_1007405.obj (took 0.01s | total elapsed: 0.17s)
[162/9995] [162 success|0 fail] [SUCCESS] model_1018279.obj (took 0.03s | total elapsed: 0.17s)
[163/9995] [163 success|0 fail] [SUCCESS] model_102294.obj (took 0.05s | total elapsed: 0.17s)
[164/9995] [164 success|0 fail] [SUCCESS] model_1007406.obj (took 0.01s | total elapsed: 0.17s)
[165/9995] [165 success|0 fail] [SUCCESS] model_101397.obj (took 0.04s | total elapsed: 0.17s)
[166/9995] [166 success|0 fail] [SUCCESS] model_1036467.obj (took 0.01s | total elapsed: 0.17s)
[167/9995] [167 success|0 fail] [SUCCESS] model_101213.obj (took 0.04s | total elapsed: 0.17s)
[168/9995] [168 success|0 fail] [SUCCESS] model_100478.obj (took 0.01s | total elapsed: 0.17s)
[169/9995] [169 success|0 fail] [SUCCESS] model_104402.obj (took 0.02s | total elapsed: 0.17s)
[170/9995] [170 success|0 fail] [SUCCESS] model_100173.obj (took 0.00s | total elapsed: 0.17s)
[171/9995] [171 success|0 fail] [SUCCESS] model_101952.obj (took 0.04s | total elapsed: 0.17s)
[172/9995] [172 success|0 fail] [SUCCESS] model_1005279.obj (took 0.01s | total elapsed: 0.17s)
[173/9995] [173 success|0 fail] [SUCCESS] model_103044.obj (took 0.04s | total elapsed: 0.17s)
[174/9995] [174 success|0 fail] [SUCCESS] model_100679.obj (took 0.01s | total elapsed: 0.17s)
[175/9995] [175 success|0 fail] [SUCCESS] model_1036466.obj (took 0.03s | total elapsed: 0.17s)
[176/9995] [176 success|0 fail] [SUCCESS] model_103358.obj (took 0.01s | total elapsed: 0.17s)
[177/9995] [177 success|0 fail] [SUCCESS] model_100680.obj (took 0.01s | total elapsed: 0.17s)
[178/9995] [178 success|0 fail] [SUCCESS] model_100339.obj (took 0.01s | total elapsed: 0.17s)
[179/9995] [179 success|0 fail] [SUCCESS] model_100031.obj (took 0.00s | total elapsed: 0.17s)
[180/9995] [180 success|0 fail] [SUCCESS] model_103042.obj (took 0.05s | total elapsed: 0.17s)
[181/9995] [181 success|0 fail] [SUCCESS] model_102309.obj (took 0.04s | total elapsed: 0.17s)
[182/9995] [182 success|0 fail] [SUCCESS] model_1036464.obj (took 0.04s | total elapsed: 0.17s)
[183/9995] [183 success|0 fail] [SUCCESS] model_103357.obj (took 0.01s | total elapsed: 0.17s)
[184/9995] [184 success|0 fail] [SUCCESS] model_100077.obj (took 0.01s | total elapsed: 0.17s)
[185/9995] [185 success|0 fail] [SUCCESS] model_100641.obj (took 0.02s | total elapsed: 0.17s)
[186/9995] [186 success|0 fail] [SUCCESS] model_1017017.obj (took 0.07s | total elapsed: 0.17s)
[187/9995] [187 success|0 fail] [SUCCESS] model_1005278.obj (took 0.01s | total elapsed: 0.17s)
[188/9995] [188 success|0 fail] [SUCCESS] model_1005266.obj (took 0.01s | total elapsed: 0.17s)
[189/9995] [189 success|0 fail] [SUCCESS] model_100728.obj (took 0.01s | total elapsed: 0.17s)
[190/9995] [190 success|0 fail] [SUCCESS] model_1016001.obj (took 0.05s | total elapsed: 0.17s)
[191/9995] [191 success|0 fail] [SUCCESS] model_101632.obj (took 0.05s | total elapsed: 0.17s)
[192/9995] [192 success|0 fail] [SUCCESS] model_101342.obj (took 0.08s | total elapsed: 0.17s)
[193/9995] [193 success|0 fail] [SUCCESS] model_101974.obj (took 0.05s | total elapsed: 0.17s)
[194/9995] [194 success|0 fail] [SUCCESS] model_1017016.obj (took 0.05s | total elapsed: 0.17s)
[195/9995] [195 success|0 fail] [SUCCESS] model_103816.obj (took 0.01s | total elapsed: 0.17s)
[196/9995] [196 success|0 fail] [SUCCESS] model_100029.obj (took 0.00s | total elapsed: 0.17s)
[197/9995] [197 success|0 fail] [SUCCESS] model_103283.obj (took 0.05s | total elapsed: 0.17s)
[198/9995] [198 success|0 fail] [SUCCESS] model_103355.obj (took 0.05s | total elapsed: 0.17s)
[199/9995] [199 success|0 fail] [SUCCESS] model_103148.obj (took 0.06s | total elapsed: 0.17s)
[200/9995] [200 success|0 fail] [SUCCESS] model_100606.obj (took 0.01s | total elapsed: 0.17s)
[201/9995] [201 success|0 fail] [SUCCESS] model_100139.obj (took 0.01s | total elapsed: 0.17s)
[202/9995] [202 success|0 fail] [SUCCESS] model_100035.obj (took 0.01s | total elapsed: 0.17s)
[203/9995] [203 success|0 fail] [SUCCESS] model_103284.obj (took 0.03s | total elapsed: 0.17s)
[204/9995] [204 success|0 fail] [SUCCESS] model_100727.obj (took 0.01s | total elapsed: 0.17s)
[205/9995] [205 success|0 fail] [SUCCESS] model_100345.obj (took 0.01s | total elapsed: 0.17s)
[206/9995] [206 success|0 fail] [SUCCESS] model_1018273.obj (took 0.03s | total elapsed: 0.17s)
[207/9995] [207 success|0 fail] [SUCCESS] model_101620.obj (took 0.07s | total elapsed: 0.17s)
[208/9995] [208 success|0 fail] [SUCCESS] model_101341.obj (took 0.08s | total elapsed: 0.17s)
[209/9995] [209 success|0 fail] [SUCCESS] model_101956.obj (took 0.07s | total elapsed: 0.17s)
[210/9995] [210 success|0 fail] [SUCCESS] model_100346.obj (took 0.01s | total elapsed: 0.17s)
[211/9995] [211 success|0 fail] [SUCCESS] model_1013015.obj (took 0.07s | total elapsed: 0.17s)
[212/9995] [212 success|0 fail] [SUCCESS] model_103144.obj (took 0.04s | total elapsed: 0.17s)
[213/9995] [213 success|0 fail] [SUCCESS] model_101340.obj (took 0.05s | total elapsed: 0.17s)
[214/9995] [214 success|0 fail] [SUCCESS] model_100336.obj (took 0.01s | total elapsed: 0.17s)
[215/9995] [215 success|0 fail] [SUCCESS] model_101187.obj (took 0.06s | total elapsed: 0.17s)
[216/9995] [216 success|0 fail] [SUCCESS] model_100682.obj (took 0.01s | total elapsed: 0.17s)
[217/9995] [217 success|0 fail] [SUCCESS] model_103289.obj (took 0.03s | total elapsed: 0.17s)
[218/9995] [218 success|0 fail] [SUCCESS] model_100342.obj (took 0.01s | total elapsed: 0.17s)
[219/9995] [219 success|0 fail] [SUCCESS] model_1005587.obj (took 0.01s | total elapsed: 0.17s)
[220/9995] [220 success|0 fail] [SUCCESS] model_1036402.obj (took 0.04s | total elapsed: 0.17s)
[221/9995] [221 success|0 fail] [SUCCESS] model_101170.obj (took 0.02s | total elapsed: 0.17s)
[222/9995] [222 success|0 fail] [SUCCESS] model_103287.obj (took 0.05s | total elapsed: 0.17s)
[223/9995] [223 success|0 fail] [SUCCESS] model_104294.obj (took 0.02s | total elapsed: 0.17s)
[224/9995] [224 success|0 fail] [SUCCESS] model_102249.obj (took 0.06s | total elapsed: 0.17s)
[225/9995] [225 success|0 fail] [SUCCESS] model_100340.obj (took 0.01s | total elapsed: 0.17s)
[226/9995] [226 success|0 fail] [SUCCESS] model_102625.obj (took 0.06s | total elapsed: 0.17s)
[227/9995] [227 success|0 fail] [SUCCESS] model_100831.obj (took 0.03s | total elapsed: 0.17s)
[228/9995] [228 success|0 fail] [SUCCESS] model_1037151.obj (took 0.02s | total elapsed: 0.17s)
[229/9995] [229 success|0 fail] [SUCCESS] model_1036401.obj (took 0.01s | total elapsed: 0.17s)
[230/9995] [230 success|0 fail] [SUCCESS] model_101168.obj (took 0.02s | total elapsed: 0.17s)
[231/9995] [231 success|0 fail] [SUCCESS] model_102250.obj (took 0.03s | total elapsed: 0.17s)
[232/9995] [232 success|0 fail] [SUCCESS] model_100343.obj (took 0.01s | total elapsed: 0.17s)
[233/9995] [233 success|0 fail] [SUCCESS] model_104647.obj (took 0.00s | total elapsed: 0.17s)
[234/9995] [234 success|0 fail] [SUCCESS] model_102815.obj (took 0.04s | total elapsed: 0.17s)
[235/9995] [235 success|0 fail] [SUCCESS] model_100034.obj (took 0.00s | total elapsed: 0.17s)
[236/9995] [236 success|0 fail] [SUCCESS] model_103196.obj (took 0.03s | total elapsed: 0.17s)
[237/9995] [237 success|0 fail] [SUCCESS] model_103143.obj (took 0.03s | total elapsed: 0.17s)
[238/9995] [238 success|0 fail] [SUCCESS] model_1005277.obj (took 0.01s | total elapsed: 0.17s)
[239/9995] [239 success|0 fail] [SUCCESS] model_1037029.obj (took 0.03s | total elapsed: 0.17s)
[240/9995] [240 success|0 fail] [SUCCESS] model_1036400.obj (took 0.04s | total elapsed: 0.17s)
[241/9995] [241 success|0 fail] [SUCCESS] model_100040.obj (took 0.01s | total elapsed: 0.17s)
[242/9995] [242 success|0 fail] [SUCCESS] model_101902.obj (took 0.06s | total elapsed: 0.17s)
[243/9995] [243 success|0 fail] [SUCCESS] model_1005276.obj (took 0.01s | total elapsed: 0.17s)
[244/9995] [244 success|0 fail] [SUCCESS] model_1001931.obj (took 0.01s | total elapsed: 0.17s)
[245/9995] [245 success|0 fail] [SUCCESS] model_100638.obj (took 0.01s | total elapsed: 0.17s)
[246/9995] [246 success|0 fail] [SUCCESS] model_1016024.obj (took 0.05s | total elapsed: 0.17s)
[247/9995] [247 success|0 fail] [SUCCESS] model_1037028.obj (took 0.01s | total elapsed: 0.17s)
[248/9995] [248 success|0 fail] [SUCCESS] model_1036399.obj (took 0.04s | total elapsed: 0.17s)
[249/9995] [249 success|0 fail] [SUCCESS] model_102037.obj (took 0.07s | total elapsed: 0.17s)
[250/9995] [250 success|0 fail] [SUCCESS] model_103286.obj (took 0.03s | total elapsed: 0.17s)
[251/9995] [251 success|0 fail] [SUCCESS] model_100639.obj (took 0.01s | total elapsed: 0.17s)
[252/9995] [252 success|0 fail] [SUCCESS] model_100506.obj (took 0.01s | total elapsed: 0.17s)
[253/9995] [253 success|0 fail] [SUCCESS] model_101339.obj (took 0.05s | total elapsed: 0.17s)
[254/9995] [254 success|0 fail] [SUCCESS] model_102626.obj (took 0.07s | total elapsed: 0.17s)
[255/9995] [255 success|0 fail] [SUCCESS] model_1017012.obj (took 0.05s | total elapsed: 0.17s)
[256/9995] [256 success|0 fail] [SUCCESS] model_1005292.obj (took 0.01s | total elapsed: 0.17s)
[257/9995] [257 success|0 fail] [SUCCESS] model_1005272.obj (took 0.01s | total elapsed: 0.17s)
[258/9995] [258 success|0 fail] [SUCCESS] model_1005290.obj (took 0.01s | total elapsed: 0.17s)
[259/9995] [259 success|0 fail] [SUCCESS] model_1015842.obj (took 0.02s | total elapsed: 0.17s)
[260/9995] [260 success|0 fail] [SUCCESS] model_1005288.obj (took 0.01s | total elapsed: 0.17s)
[261/9995] [261 success|0 fail] [SUCCESS] model_1017010.obj (took 0.05s | total elapsed: 0.17s)
[262/9995] [262 success|0 fail] [SUCCESS] model_1037026.obj (took 0.02s | total elapsed: 0.17s)
[263/9995] [263 success|0 fail] [SUCCESS] model_1036396.obj (took 0.01s | total elapsed: 0.17s)
[264/9995] [264 success|0 fail] [SUCCESS] model_100681.obj (took 0.01s | total elapsed: 0.17s)
[265/9995] [265 success|0 fail] [SUCCESS] model_1005271.obj (took 0.01s | total elapsed: 0.17s)
